Customer,Costs
1,313
2,54
3,13
4,102
5,66
6,72
7,15
8,127
9,242
10,51
11,197
12,145
13,428
14,90
15,150
16,56
17,146
18,79
19,86
20,36
21,76
22,17
23,378
24,149
25,145
26,174
27,251
28,254
29,140
30,19
31,364
32,215
33,127
34,37
35,125
36,243
37,191
38,53
39,11
40,37
41,11
42,3
43,174
44,179
45,8
46,44
47,284
48,149
49,188
50,506
51,208
52,46
53,78
54,240
55,86
56,30
57,307
58,70
59,85
60,97
61,565
62,411
63,153
64,317
65,21
66,145
67,156
68,224
69,152
70,61
71,239
72,432
73,467
74,4
75,279
76,189
77,71
78,13
79,213
80,0
81,136
82,32
83,375
84,226
85,32
86,495
87,44
88,92
89,216
90,286
91,22
92,80
93,52
94,11
95,211
96,89
97,11
98,130
99,124
100,740
